飞机,fei,ji
你好,ni,hao
苹果,ping,guo
香蕉,xiang,jiao
学习,xue,xi
电脑,dian,nao
太阳,tai,yang
月亮,yue,liang
星空,xing,kong
快乐,kuai,le
北京,bei,jing
上海,shang,hai
春天,chun,tian
夏天,xia,tian
秋天,qiu,tian
冬天,dong,tian
老师,lao,shi
同学,tong,xue
朋友,peng,you
父母,fu,mu
爷爷,ye,ye
奶奶,nai,nai
再见,zai,jian
早上,zao,shang
晚上,wan,shang
吃饭,chi,fan
喝水,he,shui
睡觉,shui,jiao
起床,qi,chuang
游戏,you,xi
功课,gong,ke
考试,kao,shi
汉字,han,zi
拼音,pin,yin
数学,shu,xue
科学,ke,xue
画画,hua,hua
唱歌,chang,ge
跳舞,tiao,wu
跑步,pao,bu
游泳,you,yong
足球,zu,qiu
篮球,lan,qiu
美国,mei,guo
中国,zhong,guo
熊猫,xiong,mao
老虎,lao,hu
大象,da,xiang
猴子,hou,zi
金鱼,jin,yu
小鸟,xiao,niao
米饭,mi,fan
面条,mian,tiao
饺子,jiao,zi
包子,bao,zi
西瓜,xi,gua
橙子,cheng,zi
牛奶,niu,nai
汽车,qi,che
火车,huo,che
轮船,lun,chuan
公园,gong,yuan
学校,xue,xiao
教室,jiao,shi
书包,shu,bao
铅笔,qian,bi
作业,zuo,ye
故事,gu,shi
音乐,yin,yue
电视,dian,shi
手机,shou,ji
房间,fang,jian
厨房,chu,fang
窗户,chuang,hu
开门,kai,men
关灯,guan,deng
颜色,yan,se
红色,hong,se
黄色,huang,se
蓝色,lan,se
绿色,lu,se
白色,bai,se
黑色,hei,se
漂亮,piao,liang
可爱,ke,ai
聪明,cong,ming
勇敢,yong,gan
高兴,gao,xing
伤心,shang,xin
生气,sheng,qi
头发,tou,fa
眼睛,yan,jing
鼻子,bi,zi
嘴巴,zui,ba
耳朵,er,duo
脑袋,nao,dai
胳膊,ge,bo
手指,shou,zhi
身体,shen,ti
帮助,bang,zhu
告诉,gao,su
知道,zhi,dao
喜欢,xi,huan
回答,hui,da
问题,wen,ti
如果,ru,guo
但是,dan,shi
因为,yin,wei
所以,suo,yi
城市,cheng,shi
国家,guo,jia
地球,di,qiu
天空,tian,kong
白云,bai,yun
下雨,xia,yu
刮风,gua,feng
下雪,xia,xue
河流,he,liu
大海,da,hai
森林,sen,lin
树木,shu,mu
花草,hua,cao
医生,yi,sheng
警察,jing,cha
工人,gong,ren
农民,nong,min
士兵,shi,bing
超市,chao,shi
商店,shang,dian
医院,yi,yuan
银行,yin,hang
安静,an,jing
干净,gan,jing
努力,nu,li
认真,ren,zhen
健康,jian,kang
运动,yun,dong
爬山,pa,shan
放学,fang,xue
回家,hui,jia
周末,zhou,mo
假期,jia,qi
礼物,li,wu
生日,sheng,ri
新年,xin,nian
今天,jin,tian
明天,ming,tian
昨天,zuo,tian
现在,xian,zai
以前,yi,qian
以后,yi,hou
前面,qian,mian
后面,hou,mian
左边,zuo,bian
右边,you,bian
中间,zhong,jian
里面,li,mian
外面,wai,mian
开始,kai,shi
结束,jie,shu
数字,shu,zi
名字,ming,zi
非常,fei,chang
特别,te,bie
一起,yi,qi
大家,da,jia
我们,wo,men
你们,ni,men
他们,ta,men
沙发,sha,fa
桌子,zhuo,zi
椅子,yi,zi
床单,chuang,dan
被子,bei,zi
牙刷,ya,shua
毛巾,mao,jin
香皂,xiang,zao
旅游,lu,you
照片,zhao,pian
电影,dian,ying
新闻,xin,wen
世界,shi,jie
和平,he,ping
希望,xi,wang
梦想,meng,xiang
未来,wei,lai
